"Treatment";"C1";"C2";"C3";"M1";"M2";"M3";"Outcome"
1;0;1;0;7.6947393012466;14.7464279106242;12.4408441458064;3
0;0;1;0;1.54693696845233;7.0504178215907;4.89786091353722;0
0;0;1;1;7.03813297142175;7.86619421972074;9.53042978296435;0
0;1;1;0;4.5378943901822;11.8702551391097;3.65600295214307;0
0;0;1;0;0.701293733666894;6.32579612405579;4.67387006432783;0
0;0;1;1;6.73598465551164;7.16767342783833;9.58871498477559;0
0;1;1;1;12.0028268357062;13.4484425286635;10.306786255343;1
1;1;0;0;10.5760317716132;12.7986974751103;8.51587742255514;2
0;0;1;0;1.43127891372594;7.56793513836235;4.9337606774882;0
0;0;0;0;1.36660877745878;0.556609490627342;3.91577777869972;0
0;0;1;0;2.05620317022224;8.09583584882227;5.65370166489989;0
1;0;1;0;8.12206227314692;14.7400702123674;14.5774229303323;3
1;1;1;0;11.7963442288495;19.7108778126237;13.4210865524129;3
1;0;1;0;6.1774695306487;12.3000406621604;12.8546111045246;1
0;1;1;0;5.23377139574258;12.187906382101;3.92067805376234;0
1;1;0;0;9.82549341820948;12.3946123683077;9.22710911797574;2
1;0;0;0;6.39530480476169;6.94371694084945;10.5995886334239;0
0;0;1;0;0.734295642799254;6.64129375731962;5.20839206214173;0
1;1;1;0;11.3740034175793;19.0142380152231;13.4892493190778;3
1;1;1;0;10.993309052233;18.5291823828755;13.6409483003687;3
0;0;1;0;2.85505804470921;9.25124575978284;4.24877357656244;0
1;1;1;0;10.365626400542;18.8685222837047;12.402905271472;3
1;1;0;0;11.7691114324493;13.1045999147391;11.555672464313;2
0;1;1;0;5.07233382032509;12.3158824680073;4.81710743889864;0
0;1;1;0;6.78980146844904;12.7072800951631;7.65282721895125;0
1;0;0;0;5.61845094365265;7.65014334316104;8.82786936525587;0
0;0;1;0;0.201995867135986;6.6791095752871;3.77096288546339;0
0;0;1;0;2.4672783719298;8.01508013329502;6.44520449703188;0
1;0;1;1;10.9249421685247;12.6716043220218;17.8778646949244;3
0;1;0;1;11.9356593161283;8.45997876642109;5.17009723107533;0
0;0;1;1;7.86066930744395;9.10075786267726;9.22926889650187;0
0;1;0;0;5.75158771672317;7.27760761504949;0.863736488819497;0
0;0;0;1;7.31613218358135;1.94152601179715;6.86682670687503;0
1;0;1;0;6.09040034462067;13.5724303018895;11.9805685285424;1
0;0;0;1;6.8015362370456;2.48555711885684;5.39947437816502;0
1;1;0;0;9.90400221379761;11.1169272004212;10.8080586155918;1
0;1;1;0;6.89036861660101;13.8414670895607;4.59152170916219;0
0;1;1;0;7.22402206973582;14.0206318468743;4.72493917865618;0
1;1;0;0;10.7600706620703;12.3880043321949;9.31019603997823;2
0;1;1;1;13.3066310411418;14.6470426531152;11.0782549322694;2
0;1;0;0;6.23998703345327;7.25033734548947;2.37095726482449;0
0;1;1;1;10.5247952696329;13.0208746730114;7.82392548480669;0
0;1;1;1;10.6096226690975;12.882355886269;8.05267532067545;0
1;1;1;0;9.80744689608438;17.4953465936753;12.0971168047545;3
0;0;0;1;6.97863327200628;1.94312347572505;6.52928405781935;0
0;0;1;1;7.54346278355438;8.7871745820501;8.73347859280555;0
1;0;1;0;6.07041644367911;13.7701586148425;11.3941141095478;1
1;1;1;1;15.591241263496;18.6846423758186;17.5050472253655;3
1;0;0;0;7.55724932993351;8.6412732262531;11.1012854247047;0
1;0;0;0;6.69018590485548;8.01434974732115;9.62487436916263;0
0;0;1;1;7.10766141179376;7.33911087447327;10.1560303657293;0
0;0;1;1;6.71765409961468;7.74075914081654;8.86658420495051;0
0;1;1;1;9.70192333681507;11.5593773718523;8.70549462224645;0
1;0;0;0;6.74290337828085;8.09972696212968;8.43557090909507;0
0;0;1;1;7.67583240717472;8.31535457737739;10.198080503872;0
1;1;1;0;11.378909383251;19.4394106931253;13.0927403980094;3
0;1;1;1;11.1766162071828;12.6180807043438;9.12444755645065;0
1;1;1;0;11.8101601094722;19.8522946177477;13.7141398116504;3
0;1;0;0;5.64966756398038;7.86096881706772;0.609131051439546;0
1;1;1;1;13.5459465899561;16.9897044173782;15.0558430485374;3
0;1;1;1;12.4762397088871;14.7029864759539;8.64087414003797;1
0;0;0;1;7.402058935568;2.39449535173912;6.19264606468577;0
1;1;0;0;9.75901707944477;11.3625060461589;10.105218974028;2
0;1;1;0;6.36422203051843;13.5243519995152;5.19912382517219;0
1;1;0;1;17.0582115907385;14.4985187570743;13.5514154120723;3
